readable_timestamp,timestamp,open,high,low,close,volume
2025-09-08 21:43:00 UTC,1757367780000,112324.63,112324.63,112260.01,112260.01,7.67845
2025-09-08 21:44:00 UTC,1757367840000,112260.01,112260.01,112252.8,112252.81,2.08622
2025-09-08 21:45:00 UTC,1757367900000,112252.8,112252.81,112250.1,112250.1,3.01156
2025-09-08 21:46:00 UTC,1757367960000,112250.11,112250.11,112250.1,112250.11,1.5323
2025-09-08 21:47:00 UTC,1757368020000,112250.11,112250.12,112250.1,112250.11,2.28152
2025-09-08 21:48:00 UTC,1757368080000,112250.12,112250.12,112250.11,112250.12,1.9435
2025-09-08 21:49:00 UTC,1757368140000,112250.11,112250.12,112250.11,112250.12,1.22169
2025-09-08 21:50:00 UTC,1757368200000,112250.11,112257.3,112250.11,112257.3,1.43211
2025-09-08 21:51:00 UTC,1757368260000,112257.3,112264.77,112257.29,112264.77,4.34415
2025-09-08 21:52:00 UTC,1757368320000,112264.77,112267.47,112264.76,112267.47,2.0029
2025-09-08 21:53:00 UTC,1757368380000,112267.46,112267.47,112267.46,112267.46,1.282
2025-09-08 21:54:00 UTC,1757368440000,112267.46,112267.47,112267.46,112267.46,1.14836
2025-09-08 21:55:00 UTC,1757368500000,112267.47,112273.53,112267.46,112273.52,2.0989
2025-09-08 21:56:00 UTC,1757368560000,112273.53,112273.53,112273.52,112273.52,1.07919
2025-09-08 21:57:00 UTC,1757368620000,112273.53,112273.53,112273.52,112273.52,0.89277
2025-09-08 21:58:00 UTC,1757368680000,112273.53,112293.22,112273.52,112293.22,2.55487
2025-09-08 21:59:00 UTC,1757368740000,112295.97,112326.45,112295.97,112326.45,1.90596
2025-09-08 22:00:00 UTC,1757368800000,112326.45,112391.03,112326.45,112366.31,8.61826
2025-09-08 22:01:00 UTC,1757368860000,112366.3,112427.29,112366.3,112427.29,8.43964
2025-09-08 22:02:00 UTC,1757368920000,112427.29,112447.66,112395.37,112399.43,8.47314
--- HISTORICAL DATA ENDS / LIVE WEBSOCKET DATA BEGINS ---,---,---,---,---,---,---
2025-09-08 22:02:00 UTC,1757368920000,112427.29,112447.66,112380.84,112394.0,15.19997
2025-09-08 22:03:00 UTC,1757368980000,112393.99,112465.23,112393.99,112395.13,12.11648
2025-09-08 22:04:00 UTC,1757369040000,112395.13,112395.14,112360.77,112360.77,6.98848
2025-09-08 22:05:00 UTC,1757369100000,112360.77,112368.42,112358.42,112358.43,3.58261
2025-09-08 22:06:00 UTC,1757369160000,112358.43,112379.86,112344.84,112372.42,8.49395
2025-09-08 22:07:00 UTC,1757369220000,112372.41,112375.39,112358.82,112375.39,4.16036
2025-09-08 22:08:00 UTC,1757369280000,112375.38,112395.05,112375.38,112395.04,4.62438
2025-09-08 22:09:00 UTC,1757369340000,112395.05,112433.33,112395.04,112433.32,3.50409
2025-09-08 22:10:00 UTC,1757369400000,112433.32,112459.95,112433.32,112459.94,3.31161
2025-09-08 22:11:00 UTC,1757369460000,112459.94,112494.01,112459.94,112494.01,5.41797
2025-09-08 22:12:00 UTC,1757369520000,112494.0,112512.71,112461.18,112461.18,8.30414
2025-09-08 22:13:00 UTC,1757369580000,112461.19,112484.59,112443.91,112460.35,6.02458
