readable_timestamp,timestamp,open,high,low,close,volume
2025-09-08 18:33:00 UTC,1757356380000,878.29,878.3,878.2,878.3,16.281
2025-09-08 18:34:00 UTC,1757356440000,878.3,878.64,878.3,878.64,23.536
2025-09-08 18:35:00 UTC,1757356500000,878.64,878.64,878.37,878.5,149.343
2025-09-08 18:36:00 UTC,1757356560000,878.49,878.63,878.3,878.63,267.788
2025-09-08 18:37:00 UTC,1757356620000,878.64,879.1,878.63,879.1,346.235
2025-09-08 18:38:00 UTC,1757356680000,879.1,879.16,879.02,879.16,7.482
2025-09-08 18:39:00 UTC,1757356740000,879.15,879.16,878.7,878.7,30.103
2025-09-08 18:40:00 UTC,1757356800000,878.71,878.88,878.69,878.69,20.505
2025-09-08 18:41:00 UTC,1757356860000,878.69,879.0,878.68,878.99,32.423
2025-09-08 18:42:00 UTC,1757356920000,878.99,879.0,878.97,878.97,16.198
2025-09-08 18:43:00 UTC,1757356980000,878.97,879.85,878.81,879.65,471.213
2025-09-08 18:44:00 UTC,1757357040000,879.64,879.65,879.56,879.57,108.028
2025-09-08 18:45:00 UTC,1757357100000,879.56,879.89,879.56,879.89,23.46
2025-09-08 18:46:00 UTC,1757357160000,879.89,880.2,879.88,880.19,41.764
2025-09-08 18:47:00 UTC,1757357220000,880.19,880.32,880.19,880.32,12.339
2025-09-08 18:48:00 UTC,1757357280000,880.32,880.32,880.24,880.25,32.208
2025-09-08 18:49:00 UTC,1757357340000,880.24,880.68,880.12,880.68,97.603
2025-09-08 18:50:00 UTC,1757357400000,880.69,880.72,880.52,880.57,39.67
2025-09-08 18:51:00 UTC,1757357460000,880.57,880.57,880.52,880.52,31.383
2025-09-08 18:52:00 UTC,1757357520000,880.53,880.53,880.51,880.52,9.536
2025-09-08 18:53:00 UTC,1757357580000,880.52,880.56,880.17,880.56,203.048
2025-09-08 18:54:00 UTC,1757357640000,880.56,880.59,880.55,880.59,32.551
2025-09-08 18:55:00 UTC,1757357700000,880.59,880.59,880.58,880.59,5.504
2025-09-08 18:56:00 UTC,1757357760000,880.59,880.6,880.58,880.6,15.025
2025-09-08 18:57:00 UTC,1757357820000,880.59,880.61,880.59,880.6,23.029
2025-09-08 18:58:00 UTC,1757357880000,880.61,880.61,880.6,880.61,14.048
2025-09-08 18:59:00 UTC,1757357940000,880.61,880.67,880.61,880.65,27.324
2025-09-08 19:00:00 UTC,1757358000000,880.65,880.65,880.4,880.41,76.616
2025-09-08 19:01:00 UTC,1757358060000,880.4,880.47,880.4,880.42,35.816
2025-09-08 19:02:00 UTC,1757358120000,880.42,880.42,880.3,880.34,18.353
2025-09-08 19:03:00 UTC,1757358180000,880.34,880.48,880.33,880.45,21.506
2025-09-08 19:04:00 UTC,1757358240000,880.45,880.45,880.32,880.33,42.845
2025-09-08 19:05:00 UTC,1757358300000,880.32,880.32,880.19,880.19,21.209
2025-09-08 19:06:00 UTC,1757358360000,880.2,880.2,879.44,879.69,211.938
2025-09-08 19:07:00 UTC,1757358420000,879.69,879.69,879.33,879.34,30.448
2025-09-08 19:08:00 UTC,1757358480000,879.34,879.34,879.01,879.01,23.916
2025-09-08 19:09:00 UTC,1757358540000,879.02,879.02,878.8,878.81,31.078
2025-09-08 19:10:00 UTC,1757358600000,878.81,878.84,878.6,878.84,37.856
2025-09-08 19:11:00 UTC,1757358660000,878.83,878.84,878.8,878.81,46.311
2025-09-08 19:12:00 UTC,1757358720000,878.81,878.81,878.61,878.62,109.464
2025-09-08 19:13:00 UTC,1757358780000,878.61,879.1,878.61,879.1,132.737
2025-09-08 19:14:00 UTC,1757358840000,879.09,879.3,879.04,879.2,86.555
2025-09-08 19:15:00 UTC,1757358900000,879.2,879.2,878.97,878.97,46.964
2025-09-08 19:16:00 UTC,1757358960000,878.97,878.97,878.73,878.74,46.609
2025-09-08 19:17:00 UTC,1757359020000,878.74,878.84,878.73,878.84,40.53
2025-09-08 19:18:00 UTC,1757359080000,878.84,879.08,878.16,878.61,767.865
2025-09-08 19:19:00 UTC,1757359140000,878.61,878.61,878.32,878.32,58.05
2025-09-08 19:20:00 UTC,1757359200000,878.33,878.33,877.4,878.16,747.649
2025-09-08 19:21:00 UTC,1757359260000,878.15,878.2,877.87,878.0,207.915
2025-09-08 19:22:00 UTC,1757359320000,877.99,878.0,877.7,877.81,69.96
2025-09-08 19:23:00 UTC,1757359380000,877.82,877.96,877.67,877.95,164.59
2025-09-08 19:24:00 UTC,1757359440000,877.95,878.0,877.89,877.9,64.418
2025-09-08 19:25:00 UTC,1757359500000,877.89,877.96,877.79,877.95,42.863
2025-09-08 19:26:00 UTC,1757359560000,877.95,877.96,877.64,877.75,61.601
2025-09-08 19:27:00 UTC,1757359620000,877.75,877.76,877.64,877.76,30.727
2025-09-08 19:28:00 UTC,1757359680000,877.76,878.0,877.74,877.74,38.066
2025-09-08 19:29:00 UTC,1757359740000,877.74,877.9,877.74,877.88,21.248
2025-09-08 19:30:00 UTC,1757359800000,877.89,878.0,877.89,877.99,28.362
2025-09-08 19:31:00 UTC,1757359860000,878.0,878.0,877.99,878.0,14.958
2025-09-08 19:32:00 UTC,1757359920000,878.0,878.0,877.77,877.77,48.323
2025-09-08 19:33:00 UTC,1757359980000,877.78,877.78,876.56,876.69,195.895
2025-09-08 19:34:00 UTC,1757360040000,876.7,876.71,876.1,876.33,77.917
2025-09-08 19:35:00 UTC,1757360100000,876.33,876.51,876.11,876.21,178.805
2025-09-08 19:36:00 UTC,1757360160000,876.22,876.8,876.2,876.79,125.963
2025-09-08 19:37:00 UTC,1757360220000,876.8,877.15,876.79,877.1,126.529
2025-09-08 19:38:00 UTC,1757360280000,877.09,877.2,876.8,876.83,109.443
2025-09-08 19:39:00 UTC,1757360340000,876.83,876.84,876.61,876.61,80.38
2025-09-08 19:40:00 UTC,1757360400000,876.62,876.86,876.61,876.86,86.287
2025-09-08 19:41:00 UTC,1757360460000,876.86,877.32,876.85,877.28,64.237
2025-09-08 19:42:00 UTC,1757360520000,877.28,877.41,877.16,877.4,63.336
2025-09-08 19:43:00 UTC,1757360580000,877.4,877.54,877.3,877.31,60.663
2025-09-08 19:44:00 UTC,1757360640000,877.31,877.31,877.16,877.17,34.969
2025-09-08 19:45:00 UTC,1757360700000,877.17,877.36,877.17,877.36,15.462
2025-09-08 19:46:00 UTC,1757360760000,877.35,877.5,877.35,877.5,47.832
2025-09-08 19:47:00 UTC,1757360820000,877.5,877.5,877.29,877.48,80.05
2025-09-08 19:48:00 UTC,1757360880000,877.48,877.7,877.48,877.7,13.283
2025-09-08 19:49:00 UTC,1757360940000,877.7,877.84,877.69,877.82,55.84
2025-09-08 19:50:00 UTC,1757361000000,877.82,877.83,877.55,877.62,113.973
2025-09-08 19:51:00 UTC,1757361060000,877.62,877.84,877.61,877.8,99.083
2025-09-08 19:52:00 UTC,1757361120000,877.8,877.93,877.8,877.93,34.14
2025-09-08 19:53:00 UTC,1757361180000,877.92,878.0,877.89,878.0,24.644
2025-09-08 19:54:00 UTC,1757361240000,878.0,878.0,877.99,878.0,6.214
2025-09-08 19:55:00 UTC,1757361300000,878.0,878.0,877.99,878.0,20.79
2025-09-08 19:56:00 UTC,1757361360000,878.0,878.0,877.92,877.93,60.278
2025-09-08 19:57:00 UTC,1757361420000,877.93,877.95,877.36,877.37,382.714
2025-09-08 19:58:00 UTC,1757361480000,877.37,877.37,877.0,877.36,97.191
2025-09-08 19:59:00 UTC,1757361540000,877.36,877.69,877.24,877.63,71.561
