readable_timestamp,timestamp,open,high,low,close,volume
2025-09-08 19:32:00 UTC,1757359920000,215.63,215.72,215.56,215.56,1554.528
2025-09-08 19:33:00 UTC,1757359980000,215.56,215.57,215.27,215.33,3393.182
2025-09-08 19:34:00 UTC,1757360040000,215.34,215.34,214.92,215.2,6963.416
2025-09-08 19:35:00 UTC,1757360100000,215.2,215.21,214.79,214.87,2719.866
2025-09-08 19:36:00 UTC,1757360160000,214.87,215.13,214.8,215.1,3544.191
2025-09-08 19:37:00 UTC,1757360220000,215.1,215.34,215.09,215.29,4402.322
2025-09-08 19:38:00 UTC,1757360280000,215.28,215.34,215.05,215.15,2978.85
2025-09-08 19:39:00 UTC,1757360340000,215.15,215.21,215.05,215.05,3063.489
2025-09-08 19:40:00 UTC,1757360400000,215.06,215.08,214.88,215.07,3448.057
2025-09-08 19:41:00 UTC,1757360460000,215.08,215.26,215.08,215.16,3462.156
2025-09-08 19:42:00 UTC,1757360520000,215.15,215.26,215.1,215.22,2116.171
2025-09-08 19:43:00 UTC,1757360580000,215.21,215.33,215.11,215.25,2235.46
2025-09-08 19:44:00 UTC,1757360640000,215.25,215.35,215.13,215.14,1921.071
2025-09-08 19:45:00 UTC,1757360700000,215.13,215.47,215.13,215.36,3575.511
2025-09-08 19:46:00 UTC,1757360760000,215.37,215.57,215.36,215.55,4121.61
2025-09-08 19:47:00 UTC,1757360820000,215.54,215.64,215.35,215.53,5784.514
2025-09-08 19:48:00 UTC,1757360880000,215.54,215.76,215.52,215.61,2359.575
2025-09-08 19:49:00 UTC,1757360940000,215.61,215.85,215.55,215.84,1057.805
2025-09-08 19:50:00 UTC,1757361000000,215.84,215.84,215.54,215.55,2150.265
2025-09-08 19:51:00 UTC,1757361060000,215.55,215.78,215.5,215.67,3002.533
2025-09-08 19:52:00 UTC,1757361120000,215.68,215.87,215.65,215.87,3754.29
2025-09-08 19:53:00 UTC,1757361180000,215.86,216.06,215.76,216.01,4684.608
2025-09-08 19:54:00 UTC,1757361240000,216.0,216.06,215.74,215.81,3987.604
2025-09-08 19:55:00 UTC,1757361300000,215.82,215.99,215.66,215.82,7858.777
2025-09-08 19:56:00 UTC,1757361360000,215.82,215.92,215.59,215.66,3821.684
2025-09-08 19:57:00 UTC,1757361420000,215.66,215.85,215.51,215.81,7451.098
2025-09-08 19:58:00 UTC,1757361480000,215.8,215.96,215.7,215.81,5178.633
2025-09-08 19:59:00 UTC,1757361540000,215.8,216.15,215.64,216.15,13118.536
2025-09-08 20:00:00 UTC,1757361600000,216.16,216.22,215.87,216.0,7047.9
2025-09-08 20:01:00 UTC,1757361660000,216.01,216.01,215.77,215.81,3216.35
2025-09-08 20:02:00 UTC,1757361720000,215.81,215.95,215.73,215.94,1100.993
2025-09-08 20:03:00 UTC,1757361780000,215.94,215.99,215.73,215.73,1193.592
2025-09-08 20:04:00 UTC,1757361840000,215.73,215.74,215.25,215.37,8489.325
2025-09-08 20:05:00 UTC,1757361900000,215.37,215.59,215.37,215.51,3110.165
